CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
A BITE OF LIFE LIMITED,12481823,,,1 GARTH KOLLWYDH,,TRURO,CORNWALL,UNITED KINGDOM,TR1 1GE,Private Limited Company,Active,United Kingdom,,25-02-2020,31,12,30-09-2023,31-12-2021,DORMANT,25-03-2021,,0,0,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/12481823,,,,,,,,,,,,,,,,,,,,,11-03-2023,25-02-2022
A BROS HALAL MEAT LIMITED,7410231,,,59 CHOBHAM ROAD,,LONDON,,,E15 1LU,Private Limited Company,Active,United Kingdom,,18-10-2010,30,11,31-08-2023,30-11-2021,TOTAL EXEMPTION FULL,20-06-2017,23-05-2016,0,0,0,0,46320 - Wholesale of meat and meat products,,,,0,0,http://business.data.gov.uk/id/company/07410231,,,,,,,,,,,,,,,,,,,,,06-04-2023,23-03-2022
A BRUCE CONSULTING LTD,SC738700,,,272 BATH STREET,,GLASGOW,,SCOTLAND,G2 4JR,Private Limited Company,Active,United Kingdom,,19-07-2022,31,7,19-04-2024,,NO ACCOUNTS FILED,16-08-2023,,0,0,0,0,68310 - Real estate agencies,68320 - Management of real estate on a fee or contract basis,,,0,0,http://business.data.gov.uk/id/company/SC738700,,,,,,,,,,,,,,,,,,,,,01-08-2023,
A C & K L TWELL LTD,6654649,,,C/O KINGSBRIDGE CORPORATE SOLUTIONS RESOLUTION HOUSE,CRUSADER ROAD,LINCOLN,,ENGLAND,LN6 7AS,Private Limited Company,Liquidation,United Kingdom,,23-07-2008,31,8,31-05-2023,31-08-2021,MICRO ENTITY,20-08-2016,23-07-2015,1,1,0,0,"46330 - Wholesale of dairy products, eggs and edible oils and fats",,,,0,0,http://business.data.gov.uk/id/company/06654649,,,,,,,,,,,,,,,,,,,,,17-06-2023,03-06-2022
A C DENTAL LABORATORIES LIMITED,6777328,,,30 YORKERSGATE,,MALTON,NORTH YORKSHIRE,,YO17 7AW,Private Limited Company,Active,United Kingdom,,19-12-2008,31,12,30-09-2023,31-12-2021,TOTAL EXEMPTION FULL,16-01-2017,19-12-2015,0,0,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/06777328,06-05-2009,A C DENTAL LABORATORY LIMITED,,,,,,,,,,,,,,,,,,,31-12-2022,17-12-2021
A C F DISTANCE LEARNING LIMITED,2633234,,,28 KING STREET,,LONDON,,,EC2V 8EH,Private Limited Company,Active,United Kingdom,,29-07-1991,30,11,31-08-2023,30-11-2021,DORMANT,26-08-2016,29-07-2015,0,0,0,0,85310 - General secondary education,,,,0,0,http://business.data.gov.uk/id/company/02633234,,,,,,,,,,,,,,,,,,,,,09-08-2023,26-07-2022
A CERTAIN AGE LTD,13548226,,,9 CAVENDISH STREET NORTH,OLD WHITTINGTON,CHESTERFIELD,,ENGLAND,S41 9DH,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,04-08-2021,31,8,04-05-2023,,NO ACCOUNTS FILED,01-09-2022,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/13548226,,,,,,,,,,,,,,,,,,,,,17-08-2023,03-08-2022
A CERTIFIED PUBLIC MANAGEMENT ACCOUNTS LIMITED,12195779,,,40 HARROW VIEW,,HARROW,,ENGLAND,HA1 1RN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active - Proposal to Strike off,United Kingdom,,09-09-2019,30,9,30-06-2022,30-09-2020,MICRO ENTITY,07-10-2020,,0,0,0,0,85310 - General secondary education,85422 - Post-graduate level higher education,85590 - Other education n.e.c.,,0,0,http://business.data.gov.uk/id/company/12195779,13-06-2020,SUPPORT A CHILD LIMITED,,,,,,,,,,,,,,,,,,,26-06-2022,12-06-2021
A CHAMBERLAIN MEDICAL LTD,13336371,,,FIRST FLOOR,HIGH STREET,HAILSHAM,EAST SUSSEX,ENGLAND,BN27 1AL,Private Limited Company,Active,United Kingdom,,15-04-2021,30,4,31-01-2024,30-04-2022,MICRO ENTITY,13-05-2022,,0,0,0,0,86210 - General medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/13336371,,,,,,,,,,,,,,,,,,,,,13-04-2023,30-03-2022
A CHAUDHRYS LTD,7751971,,,2 WHEELEYS ROAD,EDGBASTON,BIRMINGHAM,WEST MIDLANDS,,B15 2LD,Private Limited Company,Active,United Kingdom,,24-08-2011,29,3,29-03-2023,31-03-2021,MICRO ENTITY,21-09-2016,24-08-2015,0,0,0,0,86210 - General medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/07751971,,,,,,,,,,,,,,,,,,,,,03-04-2023,20-03-2022
A CLASS ABOVE LTD,12723178,,,9 CAMBRIDGE GARDENS,APPLETON,WARRINGTON,,ENGLAND,WA4 5JW,Private Limited Company,Active,United Kingdom,,06-07-2020,31,7,30-04-2023,24-07-2021,DORMANT,03-08-2021,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/12723178,,,,,,,,,,,,,,,,,,,,,21-07-2023,07-07-2022
A CLASS CONTRACTS LIMITED,8626888,,,7 ST PETERSGATE,,STOCKPORT,CHESHIRE,,SK1 1EB,Private Limited Company,Active,United Kingdom,,26-07-2013,31,7,30-04-2023,31-07-2021,TOTAL EXEMPTION FULL,23-08-2016,26-07-2015,0,0,0,0,"46470 - Wholesale of furniture, carpets and lighting equipment",96090 - Other service activities n.e.c.,,,0,0,http://business.data.gov.uk/id/company/08626888,,,,,,,,,,,,,,,,,,,,,09-08-2023,26-07-2022
A CLASS DENTAL LIMITED,13499001,,,56-58 RICHMOND HILL,17 PRIORS LODGE,LONDON,,,TW10 6BB,Private Limited Company,Active,United Kingdom,,07-07-2021,31,7,07-04-2023,,NO ACCOUNTS FILED,04-08-2022,,0,0,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/13499001,,,,,,,,,,,,,,,,,,,,,20-07-2023,06-07-2022
A CLASS TUITION LIMITED,6418263,,,164-166 HIGH ROAD,,ILFORD,ESSEX,ENGLAND,IG1 1LL,Private Limited Company,Active,United Kingdom,,05-11-2007,30,11,31-08-2023,30-11-2021,UNAUDITED ABRIDGED,03-12-2016,05-11-2015,0,0,0,0,85310 - General secondary education,,,,0,0,http://business.data.gov.uk/id/company/06418263,,,,,,,,,,,,,,,,,,,,,19-11-2023,05-11-2022
A CLINIQUE LIMITED,13334377,,,"SUITE 4, 22 ABBEY ROAD, LONDON",ABBEY ROAD,LONDON,,ENGLAND,NW10 7TR,Private Limited Company,Active,United Kingdom,,14-04-2021,30,4,14-01-2023,,NO ACCOUNTS FILED,12-05-2022,,0,0,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/13334377,,,,,,,,,,,,,,,,,,,,,27-04-2023,13-04-2022
A CONNECTED COLLECTIVE LIMITED,13704609,,,199 DOWNS BARN BOULEVARD,DOWNS BARN,MILTON KEYNES,,ENGLAND,MK14 7PY,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,26-10-2021,31,10,26-07-2023,,NO ACCOUNTS FILED,23-11-2022,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/13704609,,,,,,,,,,,,,,,,,,,,,08-11-2022,
A COOK AGENCY SERVICES LTD,9507720,,,GREENDALE 8 VALE ROAD,DECOY,NEWTON ABBOT,DEVON,ENGLAND,TQ12 1DZ,Private Limited Company,Active,United Kingdom,,25-03-2015,28,2,30-11-2023,28-02-2022,MICRO ENTITY,22-04-2017,25-03-2016,0,0,0,0,68310 - Real estate agencies,"74909 - Other professional, scientific and technical activities n.e.c.",,,0,0,http://business.data.gov.uk/id/company/09507720,,,,,,,,,,,,,,,,,,,,,08-04-2023,25-03-2022
A COUVERT LTD,11793714,,,23 EGERTON STREET EGERTON STREET,PRESTWICH,MANCHESTER,,ENGLAND,M25 1FQ,Private Limited Company,Active,United Kingdom,,29-01-2019,31,1,31-10-2023,31-01-2022,TOTAL EXEMPTION FULL,26-02-2020,,0,0,0,0,46420 - Wholesale of clothing and footwear,,,,0,0,http://business.data.gov.uk/id/company/11793714,,,,,,,,,,,,,,,,,,,,,21-03-2023,07-03-2022
A COVACI LTD,9377680,,,24 ST. MICHAELS WAY,CRANBROOK,EXETER,,ENGLAND,EX5 7DD,Private Limited Company,Active,United Kingdom,,07-01-2015,31,1,31-10-2023,31-01-2022,TOTAL EXEMPTION FULL,04-02-2017,07-01-2016,0,0,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/09377680,,,,,,,,,,,,,,,,,,,,,21-01-2023,07-01-2022
A CRUCEANU LTD,8711635,,,1A CITY GATE,185 DYKE ROAD,HOVE,,ENGLAND,BN3 1TL,Private Limited Company,Active,United Kingdom,,30-09-2013,30,9,30-06-2023,30-09-2021,MICRO ENTITY,28-10-2016,30-09-2015,1,1,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/08711635,,,,,,,,,,,,,,,,,,,,,14-10-2023,30-09-2022
A D G SERVICES UK LIMITED,6186195,,,THE CROFT CANTERBURY ROAD,BRABOURNE LEES,ASHFORD,,ENGLAND,TN25 6QP,Private Limited Company,Active,United Kingdom,,27-03-2007,30,4,31-01-2024,30-04-2022,TOTAL EXEMPTION FULL,24-04-2017,27-03-2016,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/06186195,,,,,,,,,,,,,,,,,,,,,10-04-2023,27-03-2022
A D I CONSULTING LIMITED,12645382,,,17A DANETHORPE ROAD,,WEMBLEY,,ENGLAND,HA0 4RQ,Private Limited Company,Active,United Kingdom,,04-06-2020,30,6,31-03-2023,30-06-2021,DORMANT,02-07-2021,,0,0,0,0,68310 - Real estate agencies,82990 - Other business support service activities n.e.c.,,,0,0,http://business.data.gov.uk/id/company/12645382,,,,,,,,,,,,,,,,,,,,,17-06-2023,03-06-2022
A D M LIM-LO LIMITED,13935768,,,CONSULTING SUITES,44 WIMPOLE STREET,LONDON,,UNITED KINGDOM,W1G 8SA,Private Limited Company,Active,United Kingdom,,23-02-2022,28,2,23-11-2023,,NO ACCOUNTS FILED,23-03-2023,,0,0,0,0,86230 - Dental practice activities,86900 - Other human health activities,,,0,0,http://business.data.gov.uk/id/company/13935768,,,,,,,,,,,,,,,,,,,,,08-03-2023,
A D RICHARDS LIMITED,4796674,,,SUTTON HILL HOUSE,PORTFIELD GATE,HAVERFORDWEST,DYFED,,SA62 3LS,Private Limited Company,Active,United Kingdom,,12-06-2003,30,6,31-03-2023,30-06-2021,TOTAL EXEMPTION FULL,15-06-2017,18-05-2016,0,0,0,0,86210 - General medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/04796674,03-06-2005,A.D. & H.M. RICHARDS LIMITED,,,,,,,,,,,,,,,,,,,15-01-2023,01-01-2022
A D SPECIAL PROJECTS LTD,11136049,,,THE COURTYARD,HIGH STREET,ASCOT,BERKSHIRE,ENGLAND,SL5 7HP,Private Limited Company,Active,United Kingdom,,05-01-2018,30,11,31-08-2023,30-11-2021,TOTAL EXEMPTION FULL,02-02-2019,,0,0,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/11136049,,,,,,,,,,,,,,,,,,,,,18-01-2023,04-01-2022
A D V CANTERBURY LIMITED,6658400,,,14 BURGATE,,CANTERBURY,,ENGLAND,CT1 2HG,Private Limited Company,Active,United Kingdom,,29-07-2008,31,1,31-01-2023,31-01-2021,MICRO ENTITY,13-08-2016,16-07-2015,2,1,0,1,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/06658400,,,,,,,,,,,,,,,,,,,,,30-07-2023,16-07-2022
A DADHIWALA LIMITED,7290500,,,29 ASTER CHASE,LOWER DARWEN,DARWEN,LANCASHIRE,ENGLAND,BB3 0QX,Private Limited Company,Active,United Kingdom,,21-06-2010,30,6,31-03-2023,30-06-2021,MICRO ENTITY,19-07-2017,21-06-2016,2,2,0,0,86210 - General medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/07290500,,,,,,,,,,,,,,,,,,,,,05-07-2023,21-06-2022
A DARAKHSHAN LTD,9026957,,,7 LINDUM TERRACE,,LINCOLN,LINCOLNSHIRE,,LN2 5RP,Private Limited Company,Active,United Kingdom,,07-05-2014,31,5,28-02-2023,31-05-2021,TOTAL EXEMPTION FULL,04-06-2017,07-05-2016,0,0,0,0,86210 - General medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/09026957,,,,,,,,,,,,,,,,,,,,,26-05-2023,12-05-2022
A DAVIES (WARRENPOINT) LTD,NI657470,,,8 KNOCKNAGREENA,,WARRENPOINT,CO. DOWN,UNITED KINGDOM,BT34 3FP,Private Limited Company,Active,United Kingdom,,29-11-2018,31,8,31-05-2024,31-08-2022,MICRO ENTITY,27-12-2019,,1,1,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/NI657470,,,,,,,,,,,,,,,,,,,,,06-08-2023,23-07-2022
A DAVIES PROPERTY STRATEGY AND ACQUISITIONS LIMITED,11148288,,,31 CRUTCHFIELD LANE,,WALTON-ON-THAMES,,UNITED KINGDOM,KT12 2QY,Private Limited Company,Active,United Kingdom,,15-01-2018,31,1,31-10-2023,31-01-2022,DORMANT,12-02-2019,,0,0,0,0,68310 - Real estate agencies,70229 - Management consultancy activities other than financial management,,,0,0,http://business.data.gov.uk/id/company/11148288,,,,,,,,,,,,,,,,,,,,,28-01-2023,14-01-2022
A DE BEER CONTRACTS LIMITED,8121253,,,SJD ACCOUNTANCY KD TOWER,COTTERELLS,HEMEL HEMPSTEAD,HERTFORDSHIRE,,HP1 1FW,Private Limited Company,Active,United Kingdom,,27-06-2012,30,6,31-03-2024,30-06-2022,MICRO ENTITY,25-07-2017,27-06-2016,0,0,0,0,86210 - General medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/08121253,,,,,,,,,,,,,,,,,,,,,11-07-2023,27-06-2022
A DENTAL LIMITED,13967764,,,HEATH HILL GREEN LTD ATLANTIC BUSINESS CENTRE,ATLANTIC STREET,ALTRINCHAM,CHESHIRE,UNITED KINGDOM,WA14 5NQ,Private Limited Company,Active,United Kingdom,,10-03-2022,31,3,10-12-2023,,NO ACCOUNTS FILED,07-04-2023,,0,0,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/13967764,,,,,,,,,,,,,,,,,,,,,23-03-2023,
A DEVLUKIA DENTAL LIMITED,13195307,,,HEATH HILL GREEN LTD ATLANTIC BUSINESS CENTRE,ATLANTIC STREET,ALTRINCHAM,CHESHIRE,UNITED KINGDOM,WA14 5NQ,Private Limited Company,Active,United Kingdom,,11-02-2021,31,3,31-12-2023,31-03-2022,MICRO ENTITY,11-03-2022,,0,0,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/13195307,,,,,,,,,,,,,,,,,,,,,24-02-2023,10-02-2022
A E A WHITLOCK LIMITED,14218366,,,CHESTER HOUSE,LLOYD DRIVE,ELLESMERE PORT,,UNITED KINGDOM,CH65 9HQ,Private Limited Company,Active,United Kingdom,,06-07-2022,31,3,31-12-2023,,NO ACCOUNTS FILED,03-08-2023,,0,0,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/14218366,,,,,,,,,,,,,,,,,,,,,19-07-2023,
A E C TUTORS LTD,7977644,,,19-20 BOURNE COURT,SOUTHEND ROAD,WOODFORD GREEN,ESSEX,UNITED KINGDOM,IG8 8HD,Private Limited Company,Active,United Kingdom,,06-03-2012,31,3,31-12-2022,31-03-2021,TOTAL EXEMPTION FULL,03-04-2017,06-03-2016,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/07977644,,,,,,,,,,,,,,,,,,,,,19-03-2023,05-03-2022
A E M E LIMITED,3322135,,,2 FLIGHTWAY BUSINESS PARK,DUNKESWELL,HONITON,DEVON,,EX14 4RD,Private Limited Company,Active,United Kingdom,,21-02-1997,31,3,31-12-2022,31-03-2021,TOTAL EXEMPTION FULL,21-03-2017,21-02-2016,3,2,0,1,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/03322135,,,,,,,,,,,,,,,,,,,,,07-03-2023,21-02-2022
A E MITCHELL PROPERTY SERVICES LIMITED,11173772,,,JACKSON HOUSE,STATION ROAD,CHINGFORD,LONDON,UNITED KINGDOM,E4 7BU,Private Limited Company,Active,United Kingdom,,29-01-2018,31,1,31-10-2023,31-01-2022,TOTAL EXEMPTION FULL,26-02-2019,,0,0,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/11173772,17-09-2021,IGLU PROPERTY MANAGEMENT LIMITED,,,,,,,,,,,,,,,,,,,25-03-2023,11-03-2022
A EDUCATION SERVICES LTD,12426673,,,4 MAGISTRATES HOUSE,MARKET PLACE,BRENTFORD,MIDDLESEX,,TW8 8FJ,Private Limited Company,Active,United Kingdom,,27-01-2020,31,1,31-01-2023,31-01-2021,TOTAL EXEMPTION FULL,24-02-2021,,0,0,0,0,85310 - General secondary education,,,,0,0,http://business.data.gov.uk/id/company/12426673,,,,,,,,,,,,,,,,,,,,,09-02-2023,26-01-2022
A ESMAIL MEDICAL LTD,14055118,,,36 GROVE FARM PARK,,NORTHWOOD,,ENGLAND,HA6 2BQ,Private Limited Company,Active,United Kingdom,,19-04-2022,30,4,19-01-2024,,NO ACCOUNTS FILED,17-05-2023,,0,0,0,0,86210 - General medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/14055118,,,,,,,,,,,,,,,,,,,,,02-05-2023,
A F L SERVICES LIMITED,SC561857,,,1 EAST PILTON FARM CROSSWAY,,EDINBURGH,,SCOTLAND,EH5 2QG,Private Limited Company,Active,United Kingdom,,29-03-2017,31,3,31-12-2023,31-03-2022,MICRO ENTITY,26-04-2018,,0,0,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/SC561857,,,,,,,,,,,,,,,,,,,,,11-04-2023,28-03-2022
A F LONDON LIMITED,5880899,,,84 HIGH ST,HARLESDEN,LONDON,,,NW10 4SJ,Private Limited Company,Active,United Kingdom,,19-07-2006,31,7,30-04-2023,31-07-2021,TOTAL EXEMPTION FULL,16-08-2016,19-07-2015,0,0,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/05880899,,,,,,,,,,,,,,,,,,,,,13-03-2023,27-02-2022
A F MEDICAL CONSULTANTS LIMITED,8548300,,,ST GEORGE'S HOUSE,14 GEORGE STREET,HUNTINGDON,CAMBRIDGESHIRE,,PE29 3GH,Private Limited Company,Active,United Kingdom,,29-05-2013,31,3,31-12-2023,31-03-2022,MICRO ENTITY,26-06-2017,29-05-2016,0,0,0,0,86210 - General medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/08548300,,,,,,,,,,,,,,,,,,,,,15-05-2023,01-05-2022
A F S PROPERTIES LIMITED,4765406,,,"EXCHANGE HOUSE, ST. CROSS LANE",NEWPORT,ISLE OF WIGHT,,,PO30 5BZ,Private Limited Company,Active,United Kingdom,,15-05-2003,30,6,31-03-2023,30-06-2021,MICRO ENTITY,12-06-2017,15-05-2016,0,0,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/04765406,,,,,,,,,,,,,,,,,,,,,29-05-2023,15-05-2022
A FARMERY LIMITED,9751032,,,C/O SANDISON EASSON & CO. REX BUILDINGS,ALDERLEY ROAD,WILMSLOW,CHESHIRE,UNITED KINGDOM,SK9 1HY,Private Limited Company,Active,United Kingdom,,26-08-2015,31,8,31-05-2023,31-08-2021,MICRO ENTITY,23-09-2016,,0,0,0,0,86210 - General medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/09751032,,,,,,,,,,,,,,,,,,,,,08-09-2023,25-08-2022
A FATHER'S CHILD SERVICES CIC,12204454,,,69 STEWARD STREET,,BIRMINGHAM,WEST MIDLANDS,ENGLAND,B18 7AF,Community Interest Company,Active,United Kingdom,,12-09-2019,30,9,30-06-2023,30-09-2021,MICRO ENTITY,10-10-2020,,0,0,0,0,85590 - Other education n.e.c.,86900 - Other human health activities,90010 - Performing arts,90020 - Support activities to performing arts,0,0,http://business.data.gov.uk/id/company/12204454,,,,,,,,,,,,,,,,,,,,,25-09-2023,11-09-2022
A FIGGINS SURVEYORS LTD,12046371,,,1 HEOL MADOC,WHITCHURCH,CARDIFF,SOUTH GLAMORGAN,WALES,CF14 1HB,Private Limited Company,Active,United Kingdom,,12-06-2019,31,12,30-09-2023,31-12-2021,TOTAL EXEMPTION FULL,10-07-2020,,0,0,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/12046371,,,,,,,,,,,,,,,,,,,,,25-06-2023,11-06-2022
A FOR E LIMITED,3014719,,,FOOT ANSTEY LLP SENATE COURT,SOUTHERNHAY GARDENS,EXETER,,ENGLAND,EX1 1NT,Private Limited Company,Active,United Kingdom,,26-01-1995,31,8,31-05-2023,31-08-2021,SMALL,23-02-2017,26-01-2016,6,2,0,4,85200 - Primary education,,,,0,0,http://business.data.gov.uk/id/company/03014719,,,,,,,,,,,,,,,,,,,,,09-02-2023,26-01-2022
A FOREVER SMILE LTD,14309329,,,43 WHEELERS LANE,,BIRMINGHAM,,ENGLAND,B13 0SB,Private Limited Company,Active,United Kingdom,,22-08-2022,31,8,22-05-2024,,NO ACCOUNTS FILED,19-09-2023,,0,0,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/14309329,,,,,,,,,,,,,,,,,,,,,04-09-2023,
A FUTURE WITHOUT RUBBISH CIC,13090971,,,8 BURROWS ROAD,8 BURROWS ROAD,LONDON NW10 5SG,SELECT,ENGLAND,NW10 5SG,Community Interest Company,Active,United Kingdom,,18-12-2020,31,12,30-09-2023,31-12-2021,TOTAL EXEMPTION FULL,15-01-2022,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/13090971,,,,,,,,,,,,,,,,,,,,,03-02-2023,20-01-2022
A G CARTER LIMITED,6531587,,,28A WHITEGATE DRIVE,,BLACKPOOL,,UNITED KINGDOM,FY3 9AL,Private Limited Company,Active,United Kingdom,,12-03-2008,31,3,31-12-2023,31-03-2022,TOTAL EXEMPTION FULL,09-04-2017,12-03-2016,5,5,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/06531587,,,,,,,,,,,,,,,,,,,,,26-03-2023,12-03-2022
A G EDUCATIONAL TRUST,3003897,,,2 THE SPINNEY,BRAMDEAN,ALRESFORD,HAMPSHIRE,,SO24 0JE,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,21-12-1994,31,3,31-12-2022,31-03-2021,TOTAL EXEMPTION FULL,02-01-2017,05-12-2015,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/03003897,,,,,,,,,,,,,,,,,,,,,19-12-2022,05-12-2021
A G N (SW) LTD,11731530,,,SUITE 2 THE BARBICAN CENTRE LUSTLEIGH CLOSE,MATFORD PARK ROAD,EXETER,DEVON,ENGLAND,EX2 8PW,Private Limited Company,Active,United Kingdom,,18-12-2018,31,12,30-09-2023,31-12-2021,TOTAL EXEMPTION FULL,15-01-2020,,0,0,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/11731530,,,,,,,,,,,,,,,,,,,,,31-12-2022,17-12-2021
A G PATEL & FAMILY SERVICES LIMITED,8880514,C LUKE &CO,,18 WALSWORTH ROAD,,HITCHIN,HERTFORDSHIRE,,SG4 9SP,Private Limited Company,Active,United Kingdom,,06-02-2014,28,2,30-11-2023,28-02-2022,MICRO ENTITY,06-03-2017,06-02-2016,0,0,0,0,86210 - General medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/08880514,,,,,,,,,,,,,,,,,,,,,09-02-2023,26-01-2022
A G PROPERTY (UK) LIMITED,8661053,,,358 CEMETERY ROAD,OMEGA COURT,SHEFFIELD,SOUTH YORKSHIRE,ENGLAND,S11 8FT,Private Limited Company,Active,United Kingdom,,22-08-2013,31,12,30-09-2023,31-12-2021,TOTAL EXEMPTION FULL,19-09-2016,22-08-2015,12,12,0,0,68310 - Real estate agencies,98000 - Residents property management,,,0,0,http://business.data.gov.uk/id/company/08661053,,,,,,,,,,,,,,,,,,,,,05-09-2023,22-08-2022
A GAHAKWA LIMITED,8923748,,,41 TOWER HAMLETS ROAD,,LONDON,,ENGLAND,E7 9DA,Private Limited Company,Active,United Kingdom,,05-03-2014,31,3,31-12-2023,31-03-2022,MICRO ENTITY,02-04-2017,05-03-2016,0,0,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/08923748,,,,,,,,,,,,,,,,,,,,,06-12-2023,22-11-2022
A GHALY CONSULTANT SERVICES LTD,SC396573,,,58 CRAIGMOUNT BRAE,,EDINBURGH,,SCOTLAND,EH12 8XE,Private Limited Company,Active,United Kingdom,,29-03-2011,31,3,31-12-2022,31-03-2021,TOTAL EXEMPTION FULL,26-04-2017,29-03-2016,0,0,0,0,86210 - General medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/SC396573,,,,,,,,,,,,,,,,,,,,,23-05-2023,09-05-2022
A GIAZIRI LTD,8401940,,,18 ENDLESS STREET,,SALISBURY,WILTSHIRE,ENGLAND,SP1 1DP,Private Limited Company,Active,United Kingdom,,14-02-2013,30,9,30-06-2023,30-09-2021,TOTAL EXEMPTION FULL,14-03-2017,14-02-2016,8,4,0,4,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/08401940,,,,,,,,,,,,,,,,,,,,,28-02-2023,14-02-2022
A GILANI LIMITED,9534063,,,"UNIT 2.02, HIGH WEALD HOUSE GLOVERS END",BEXHILL,EAST SUSSEX,,ENGLAND,TN39 5ES,Private Limited Company,Active,United Kingdom,,09-04-2015,30,4,31-01-2023,30-04-2021,TOTAL EXEMPTION FULL,07-05-2017,09-04-2016,0,0,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/09534063,,,,,,,,,,,,,,,,,,,,,23-04-2023,09-04-2022
